Model,RMSE,MAE,MAPE,R2
RNN,34.82819159370035,21.52522087097168,8.783113479614258,0.45600444078445435
GRU,26.06208899743373,15.539910316467285,6.280777454376221,0.6953845024108887
LSTM,34.16680560820326,20.632793426513672,8.365352630615234,0.47646915912628174
60-day Moving Average,23.608016187399855,19.224941286173735,9.122996812313373,0.7500503560505377
