Epoch,RNN_Train_Loss,RNN_Validation_Loss,GRU_Train_Loss,GRU_Validation_Loss,LSTM_Train_Loss,LSTM_Validation_Loss
1,0.10198200171863711,0.19174809753894806,0.07892138289438712,0.023589646443724632,0.12916397665803497,0.08878936618566513
2,0.009590853380064506,0.03700156882405281,0.004956019686761539,0.005654854234308004,0.012073974401966945,0.04233156517148018
3,0.002148094536686266,0.02231195569038391,0.0015583362782726417,0.004735860973596573,0.0047623380150243234,0.041353970766067505
4,0.0020042271856721993,0.013066713698208332,0.0015349939349107444,0.004543055780231953,0.003084104011036657,0.022490665316581726
5,0.0017745304928236717,0.012604515068233013,0.0013915824836019325,0.005006140097975731,0.002370739431195968,0.017986338585615158
6,0.0018528347702797604,0.014447763562202454,0.0013927755408567955,0.005317386705428362,0.0023121651564095473,0.01799856312572956
7,0.001571989051896978,0.010626092553138733,0.0014588630591468835,0.0024781343527138233,0.0022990557937756988,0.012200676836073399
8,0.0016589366289711481,0.011757741682231426,0.0014083338665423562,0.0029401015490293503,0.0020848073071573635,0.009305180050432682
9,0.001638364131763779,0.010217730887234211,0.0012604120797855226,0.004919442348182201,0.001974780480629085,0.011333699338138103
10,0.0012880205483540791,0.01285019051283598,0.0012392482855608938,0.00381070445291698,0.0019308942609240075,0.01152135618031025
11,0.0015251951392840695,0.007943940348923206,0.0013076295113392375,0.0037533692084252834,0.0021849414365164733,0.010464278981089592
12,0.0011612222249921713,0.007597017101943493,0.0010933306278988115,0.002759898081421852,0.0017487717213461528,0.006175250746309757
13,0.0012903848342043726,0.0073088547214865685,0.0011905782173287022,0.004040800500661135,0.0018017249609771613,0.0106538450345397
14,0.0012368880498625741,0.007254644762724638,0.0011511533057027672,0.002740878378972411,0.0016361014159220096,0.005349654704332352
15,0.0012177310638582788,0.008238431997597218,0.001073230106723369,0.002942748134955764,0.0017909937667207338,0.007538247853517532
16,0.0013315294951049459,0.00725700194016099,0.001267681469373103,0.0025978849735111,0.0020020749369585836,0.008832369931042194
17,0.001214296615216881,0.006102696061134338,0.0011660391716538248,0.0024527860805392265,0.00161111428295388,0.004479020368307829
18,0.001119204210054532,0.005342646036297083,0.0010894915856723044,0.002740807831287384,0.001607488958806907,0.005225293803960085
19,0.0011001483559281238,0.0066294362768530846,0.0010833515804512678,0.00589932594448328,0.0014540536747616086,0.008565785363316536
20,0.0010621091948721456,0.0054812743328511715,0.0011329007385348952,0.004738514311611652,0.0014959468468520288,0.005477085709571838
21,0.0011836005692571602,0.006737822201102972,0.001044789024760846,0.0020474176853895187,0.001677740620121964,0.005441389512270689
22,0.0010583935796308357,0.006373352836817503,0.0010068354368323108,0.0031943998765200377,0.0015030943700489966,0.0077091483399271965
23,0.001103391803209544,0.005174162797629833,0.0009445806232130004,0.003696920583024621,0.0015022904970809013,0.00604275381192565
24,0.0012867502125634535,0.004008567426353693,0.001071659947204328,0.0032214310485869646,0.0015841884887777269,0.004276655614376068
25,0.0012224711653952662,0.010201146826148033,0.0009575471442469672,0.0034962554927915335,0.0017499127692693997,0.011839788407087326
26,0.0009859679549982822,0.006371402647346258,0.0010582978178029629,0.006015765015035868,0.001569734123296331,0.006069518160074949
27,0.0009366672555286739,0.00912911631166935,0.000908348336894493,0.0021172233391553164,0.001376556186162791,0.0038347169756889343
28,0.0010670748589610732,0.005842968821525574,0.0009141333607289738,0.0025735804811120033,0.001336984894855099,0.005339478608220816
29,0.0009434095566551125,0.004628869239240885,0.0010092083122455388,0.002040616236627102,0.0013975284905550448,0.005049365572631359
30,0.0009941068946736286,0.00735313119366765,0.0008926414664381662,0.002833030419424176,0.0013970898273967308,0.0046561118215322495
31,0.0009118132167369933,0.007182005792856216,0.0008803559286280762,0.0041432566940784454,0.0012630139763869749,0.0068527767434716225
32,0.0009750253159074566,0.004158501513302326,0.0008586482255014818,0.0016404374036937952,0.0013436724972986692,0.0027365458663553
33,0.0008919085438891843,0.005303805228322744,0.0009703639300061843,0.0036982130259275436,0.001416143011050047,0.005988947581499815
34,0.0009517935309181543,0.005003721918910742,0.0008961757522302907,0.004047947004437447,0.0012741920969297957,0.0052032978273928165
35,0.0010267395087253503,0.0033033336512744427,0.0008770376318008513,0.002520256210118532,0.0012386495127921571,0.003580105723813176
36,0.0008710342147890982,0.00467141717672348,0.0007991182438500628,0.0024746148847043514,0.0012386053725070244,0.005634124390780926
37,0.0008939595207118908,0.0030815117061138153,0.0007754609647924332,0.0026716936845332384,0.0011873257116767,0.0028049044776707888
38,0.000852607560306284,0.004482794553041458,0.0008007231391840489,0.002491794526576996,0.0012395410480707683,0.00589362345635891
39,0.0008886445508766416,0.006833103019744158,0.0008277999334716918,0.003761244472116232,0.0012468283813497102,0.00848929863423109
40,0.0011564182523461815,0.006421659141778946,0.0008858793668411168,0.0024312660098075867,0.0013504038105492254,0.0033123951870948076
